City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,kerikeri,-35.2268,173.9474,15.660000000000025,92,53,1.62,NZ,2024-02-01
294,zalingei,12.9096,23.4741,21.170000000000016,19,8,3.4,SD,2024-02-01
295,ballina,-28.8667,153.5667,19.470000000000027,92,14,2.07,AU,2024-02-01
296,kabinda,-6.1333,24.4833,20.970000000000027,89,71,0.83,CD,2024-02-01
297,fortuna,40.5982,-124.1573,10.899999999999977,94,20,6.69,US,2024-02-01
298,harper,4.375,-7.7169,28.100000000000023,77,11,3.95,LR,2024-02-01
299,port-cartier,50.0334,-66.8654,-10.550000000000011,77,100,4.04,CA,2024-02-01
300,el porvenir,13.7617,-87.3458,26.779999999999973,30,71,0.95,HN,2024-02-01
301,an nuhud,12.7,28.4333,17.610000000000014,17,10,6.58,SD,2024-02-01
302,ghat,24.9647,10.1728,12.579999999999984,28,0,3.34,LY,2024-02-01
303,newman,37.3138,-121.0208,14.069999999999993,90,94,3.36,US,2024-02-01
304,tateyama,34.9833,139.8667,6.319999999999993,50,100,5.37,JP,2024-02-01
305,longyearbyen,78.2186,15.6401,-9.939999999999998,85,75,3.6,SJ,2024-02-01
306,nieuw amsterdam,5.8833,-55.0833,33.24000000000001,48,40,3.09,SR,2024-02-01
307,rockingham,42.9668,-71.0995,3.990000000000009,84,100,1.34,US,2024-02-01
308,howrah,22.5892,88.3103,21.149999999999977,88,100,0.0,IN,2024-02-01
309,vernon,50.2581,-119.2691,6.420000000000016,81,100,1.2,CA,2024-02-01
310,sydney,-33.8679,151.2073,23.75999999999999,85,100,3.09,AU,2024-02-01
311,glace bay,46.1969,-59.957,0.589999999999975,80,75,2.57,CA,2024-02-01
